Year,Month,Precipitation,Temperature,VPD
1901,1,0.577419,-8.1,0.4257910632678094
1901,2,0.941379,-18.2,-0.1973729073428636
1901,3,0.345161,-9.9,0.3807507745697109
1901,4,0.626667,-2.9,1.1327834317976726
1901,5,0.8,2.8,1.885934260023504
1901,6,1.05667,12.0,4.877489694500172
1901,7,1.55484,14.9,5.168941958790191
1901,8,1.22581,10.5,2.261485522906879
1901,9,0.943333,7.3,1.614792377926456
1901,10,1.05484,2.9,1.5386732232179543
1901,11,1.69333,-10.6,0.0244482710324209
1901,12,0.403226,-18.6,0.0576733373102633
1902,1,0.674194,-18.7,-0.4533221913555618
1902,2,1.06897,-16.0,-0.3202806781977692
1902,3,0.616129,-14.9,0.1391181166143971
1902,4,0.273333,-5.9,0.5642389756605191
1902,5,0.825806,1.3,2.1335023166764358
1902,6,1.65667,6.5,2.673038492953797
1902,7,2.48065,10.2,2.811870565793498
1902,8,1.75484,9.6,2.1256910222779446
1902,9,2.24667,3.8,1.3284998985399774
1902,10,0.967742,-5.1,0.0252718924854038
1902,11,0.876667,-8.4,0.447071579387424
1902,12,0.829032,-9.5,0.0741394866903597
1903,1,0.564516,-13.4,0.281796212351262
1903,2,1.32414,-11.2,0.0974018974120354
1903,3,0.503226,-5.7,0.4279711634142602
1903,4,1.09333,-3.5,0.4987699972203296
1903,5,0.76129,3.5,2.262153280429332
1903,6,1.73667,9.8,3.78584010661816
1903,7,2.52903,10.7,2.9303570812863637
1903,8,1.58065,10.2,2.311870565793498
1903,9,1.18333,4.7,0.8465697937967995
1903,10,1.40968,-6.3,-0.3602581587619822
1903,11,1.30667,-8.1,0.0257910632678095
1903,12,0.63871,-10.5,0.5462352038481297
1904,1,0.487097,-9.5,0.0741394866903597
1904,2,0.4,-18.3,-0.2087586276734978
1904,3,0.506452,-9.1,0.2706001213207862
1904,4,0.9,-1.0,1.9487616951723576
1904,5,1.07419,2.9,2.438674223217954
1904,6,1.16667,10.0,4.247893523247528
1904,7,1.40645,11.5,3.5259673327735257
1904,8,1.48065,10.2,2.311870565793498
1904,9,0.906667,6.2,1.776571960685768
1904,10,1.35161,0.9,1.2446630648386678
1904,11,1.05667,-13.5,-0.1353500102141775
1904,12,1.59032,-18.5,-0.731234734976463
1905,1,0.735484,-14.7,0.0697317169615583
1905,2,1.33103,-14.2,-0.0514348721285249
1905,3,0.554839,-7.9,0.5793303354076742
1905,4,0.89,-3.4,0.9370260212755696
1905,5,1.17419,4.8,2.60593523513991
1905,6,1.05,11.1,4.474097431931481
1905,7,2.64839,13.6,4.913272547283789
1905,8,1.31613,10.7,2.730357081286364
1905,9,2.39,5.3,1.2083228040686027
1905,10,1.4129,-4.0,0.4118552732514406
1905,11,1.2,-9.5,-0.3258605133096401
1905,12,0.909678,-10.8,0.4814045813810219
1906,1,0.970968,-10.5,-0.1537647961518704
1906,2,0.637931,-12.1,0.0181921942426281
1906,3,0.745161,-13.0,-0.5481692736198098
1906,4,1.12333,-1.9,1.5475247396057727
1906,5,1.37419,4.0,2.04113775786448
1906,6,1.58667,10.5,4.06148552290688
1906,7,1.77097,13.7,4.51402711569208
1906,8,2.58065,8.4,1.9037267638863489
1906,9,0.573333,5.1,1.5862494612891318
1906,10,0.496774,-0.9,0.69505468592493
1906,11,1.0,-9.5,-0.5258605133096403
1906,12,0.729032,-11.5,0.3361841341177434
1907,1,0.570968,-17.1,0.1346109231090992
1907,2,0.689655,-10.9,0.5601452400224225
1907,3,0.43871,-5.7,0.4279711634142602
1907,4,0.316667,-1.3,1.8119638610544475
1907,5,0.529032,1.9,2.1259313283557333
1907,6,1.43,12.0,5.577489694500171
1907,7,3.31935,12.6,3.9368797723788
1907,8,1.74194,9.8,2.6858401066181585
1907,9,1.27667,4.1,0.99798432310223
1907,10,1.26452,0.8,0.8982021959498727
1907,11,0.626667,-4.0,0.4118552732514406
1907,12,0.574194,-14.5,0.4008668933379118
1908,1,0.709677,-14.0,0.1810394518068796
1908,2,0.717241,-14.7,-0.1302682830384416
1908,3,0.193548,-9.2,0.4461920601079763
1908,4,0.89,-2.1,1.462024636061344
